Jour	NbJas	NumPhase	DegresDuJour	Lai	FTSW	Cstr	Eto	ETM	ETR	Sla	Assim	DayLength	Par	RgCalc	VDPCalc	TMoyCalc	HMoyCalc	EauDispo	StockSurface	StockRac	RURac	Kcp	Kce	EvapPot	Evap	TrPot	Tr	Lr	Dr	SumDegresDay	BiomasseTotale	BiomasseAerienne	BiomasseFeuilles	BiomasseTiges	BiomasseVegetative	BiomasseRacinaire	Rdt	VitesseRacinaire	FESW	Kc	Ltr	DRespMaint	DBiomTot	DRdtPot	Reallocation	RdtPot	RayExtra	SumDDPhasePrec	SeuilTemp	TMinMoy	TMaxMoy	FtswMoy	IrrigTotDay	Conversion	StockTotal	BiomMc	StockMc	LitFeuilles	LitTiges	FeuillesUp	TigesUp	Hum	EToCO2
06/05/2012	8	1	12,55	0	1	1	2,7334386736014	3,55347027568182	3,55347027568182	0	0	14,0947356944415	6,8	13,6	0	20,55	89,7	12,7	25,5586716530515	28,1265297243182	31,68	0,3	1	2,7334386736014	2,7334386736014	0,82003160208042	0,82003160208042	0	0,423991365194752	83,2	0	0	0	0	0	0	0	30	1	1,3	1	0	0	0	0	0	38,3525918989553	0	90	15,7	25,4	4,7	0	0	194,446529724318	0	0	0	0	0	0	198	2,7334386736014
07/05/2012	9	1	8,25	0	0,900295446810275	1	4,39602134411334	5,71482774734734	4,72401033196641	0	0	14,1329098009888	12,15	24,3	0	16,25	72,1	0	21,099636003112	27,3625193923518	35,64	0,3	1	4,39602134411334	3,40520392873241	1,318806403234	1,318806403234	0	0	91,45	0	0	0	0	0	0	0	30	0,880119547281387	1,3	1	0	0	0	0	0	38,5103412866895	0	90	11,9	20,6	4,7	0	0	189,722519392352	0	0	0	0	0	0	198	4,39602134411334
08/05/2012	10	2	5	0,0302678279796004	0,790972711928075	1	3,56083757590216	4,62908884867281	2,94803924546456	0,005	0	14,1705628051039	10,5	21	0	13	73,6	0	18,5500891899716	28,3744801468872	39,6	0,3	1	3,56083757590216	1,87978797269392	1,06825127277065	1,06825127277065	0	0	96,45	18,3351844935082	11,0176843277482	6,05356559592008	4,96411873182813	10,8634416081125	7,31750016575998	0	15	0,726571487710469	1,3	1	0	0	0	0	0	38,6647171336987	90	410	7,5	18,5	5,4	0	5,8	186,774480146887	0	0	0	0	0	0	198	3,56083757590216
09/05/2012	11	2	5,4	0,0341352856060403	0,730025977558615	1	3,60540312984134	4,68702406879374	2,55275622186961	0,00402841495783209	7,33003946514701	14,2076782848329	10,65	21,3	0	13,4	67,4	0	16,4831542969497	27,8017239250176	41,58	0,3	1	3,60540312984134	1,47113528291721	1,0816209389524	1,0816209389524	0	0	101,85	25,6601555577585	15,4285546178343	8,47362696329832	6,95492765453603	15,2125616601936	10,2316009399241	0	15	0,63877717596321	1,3	0,987965865231601	0,107614764051946	7,22242470109507	0	0	0	38,8156966685196	90	410	7,8	19	3,3	0	5,8	184,221723925018	0	0	0	0	0	0	198	3,60540312984134
10/05/2012	12	2	7,65	0,0409551796948023	0,683694304982039	1	5,04879039832664	6,50266969375377	3,12164018407077	0,00346850224740208	10,121828659611	14,2442396496182	13,05	26,1	0	15,65	54,8	0	14,1319608834129	26,6600837409468	43,56	0,3	0,987965865231601	4,98803257425578	1,60700306457277	1,51463711949799	1,51463711949799	0	0	109,5	35,7471630930946	21,5112963657378	11,8077420089544	9,70355435678342	21,2101477073047	14,2358667273568	0	15	0,567601731988626	1,2879658652316	0,986438680352667	0,176034779427292	9,94579388018376	0	0	0	38,9632581928961	90	410	7,5	23,8	3,8	0	5,8	181,100083740947	0	0	0	0	0	0	198	5,04879039832664
11/05/2012	13	2	10,1	0,0474235336829447	0,628899511219737	1	5,0658035829551	6,51684567618257	2,70313700031246	0,00307553793573387	11,0590568829293	14,2802301558744	11,9	23,8	0	18,1	60,9	0	12,3124793127389	25,9369467406344	45,54	0,3	0,986438680352667	4,99710460129604	1,18339592542593	1,51974107488653	1,51974107488653	0	0	119,6	46,6684691955935	28,1084543040422	15,4195898974105	12,6888644066317	27,7149483451092	18,5600148915513	0	15	0,486637771467386	1,28643868035267	0,983751384503773	0,290644247434248	10,7684126354951	0	0	0	39,1073810455138	90	410	11,3	24,9	4,8	0	5,8	178,396946740634	0	0	0	0	0	0	198	5,0658035829551
12/05/2012	14	2	7,2	0,0531210392830398	0,58747783545106	1	4,87939991684953	6,26393639880317	2,32669832926262	0,00278345347393777	11,2310442192225	14,3156329237931	10,45	20,9	0	15,2	52,1	0	10,9262501550935	25,5902484113718	47,52	0,3	0,983751384503773	4,80011642374832	0,862878354207759	1,46381997505486	1,46381997505486	0	0	126,8	57,7442015968245	34,8109065975807	19,0845795629158	15,7263270346649	34,32356926363	22,9332949992437	0	15	0,423983447408363	1,28375138450377	0,981209373570655	0,310367185045457	10,920677034177	0	0	0	39,248045566127	90	410	9,4	21	3,8	0	5,8	176,070248411372	0	0	0	0	0	0	198	4,87939991684953
13/05/2012	15	2	8,1	0,0649269578804398	0,556974715381248	1	4,93964210099659	6,32871576188108	2,16802234284416	0,00265663135203128	16,3541910996156	14,3504309553793	13,6	27,2	0	16,1	35,5	0	9,78337000281072	25,4022260685276	49,5	0,3	0,981209373570655	4,8468231315821	0,68612971254518	1,48189263029898	1,48189263029898	0	0	134,9	73,9160159346081	44,6189640476843	24,4395812880835	20,1793827596007	43,9943182367029	29,2970518869238	0	15	0,3762482835776	1,28120937357066	0,97897574140346	0,408775027629157	15,9454160719864	0	0	0	39,3852330601941	90	410	8,1	24,1	1,5	0	5,8	173,902226068528	0	0	0	0	0	0	198	4,93964210099659
14/05/2012	16	2	10,6	0,0761318968765643	0,531900273281422	0,893386721269911	6,13437931239196	7,84572232911656	2,32570674033081	0,00253227611738307	17,357886823717	14,3846071537153	13,25	26,5	0	18,6	44	0	8,66191666618352	25,0565193281968	51,48	0,3	0,97897574140346	6,00540853539897	0,681594834053659	1,84031379371759	1,64411190627715	0	0	145,5	90,8891951455384	54,9407769672097	30,064611182781	24,8761657844287	54,1716303292925	35,9484181783287	0	15	0,336892906432876	1,27897574140346	0,974363557024654	0,622324633249351	16,7355621904677	0	0	0	39,518925764128	90	410	10,3	26,9	3,6	0	5,8	171,576519328197	0	0	0	0	0	0	198	6,13437931239196
15/05/2012	17	2	14,95	0,0843091014660996	0,505733620056057	0,726989604290953	8,64136354464479	11,0122387842967	2,63375148939032	0,00239427749022936	16,339072451447	14,4181443434413	13,1	26,2	0	22,95	33,7	0	7,48108340928999	24,4027678388065	53,46	0,3	0,974363557024654	8,41982972090327	0,749097050233641	2,59240906339344	1,88465443915667	0	0	160,45	106,410934062148	64,4047987306556	35,2127528284214	29,1920459022342	63,503159963534	42,0061353314929	0	15	0,298275367292821	1,27436355702465	0,97000625529223	1,03463103154815	15,3044414198989	0	0	0	39,6491068112655	90	410	14,6	31,3	5,4	0	5,8	168,942767838806	0	0	0	0	0	0	198	8,64136354464479
16/05/2012	18	2	8,9	0,0974345939390092	0,475879650772123	0,796824446456539	6,18050485864073	7,84927983133775	1,87529685357645	0,0023315896561144	20,3293746551963	14,4510252924385	13,45	26,9	0	16,9	37,3	0	6,80796851320477	24,50747098523	55,44	0,3	0,97000625529223	5,99512837374553	0,397863644733941	1,85415145759222	1,47743320884251	0	0	169,35	126,221156053518	76,5181307491716	41,7889115623305	34,7292191868411	75,4469106781383	49,7030253043461	0	15	0,257613065058195	1,27000625529223	0,966838662685813	0,796487031525385	19,5328876236709	0	0	0	39,7757601986483	90	410	9,3	24,5	2,5	0	5,8	167,06747098523	0	0	0	0	0	0	198	6,18050485864073
17/05/2012	19	2	11,6	0,110196199986047	0,461293468917277	0,748873766611579	6,64957364925757	8,42393698925627	1,84724482297639	0,0022671253607111	21,3687708800123	14,4832327346916	13,05	26,1	0	19,6	45,9	0	6,21637718199511	24,6402261622536	57,42	0,3	0,966838662685813	6,429064894479	0,35333744345221	1,99487209477727	1,49390737952418	0	0	180,95	146,737803406609	89,1042092783221	48,6061344007386	40,4980748775835	87,856789660802	57,6335941282872	0	15	0,234434177451955	1,26683866268581	0,961775871205732	1,13934753801139	20,2294233420009	0	0	0	39,8988707547053	90	410	12,3	26,9	4,9	0	5,8	165,220226162254	0	0	0	0	0	0	198	6,64957364925757
18/05/2012	20	2	14,5	0,121986655633069	0,448151955593496	0,696555380127258	7,33457734945713	9,2545927250371	1,85592578611406	0,0022011043061863	21,8216578257709	14,5147493943016	12,7	25,4	0	22,5	46,3	0	5,68468918831579	24,7643003761396	59,4	0,3	0,961775871205732	7,05421952019996	0,323243991996889	2,20037320483714	1,53268179411717	0	0	195,45	167,226652142315	101,714654234391	55,4206610246595	46,2939932097316	100,290693951158	65,5119979079244	0	15	0,214062575137573	1,26177587120573	0,95687885867872	1,61964393277677	20,2020138929941	0	0	0	40,0184241079134	90	410	14,4	30,6	5	0	5,8	163,36430037614	0	0	0	0	0	0	198	7,33457734945713
